0or1を入力してアンケートにご協力ください,↓ 0(片付いている)、1(散らかっている),備考
0.png,1,
1.png,0,
2.png,1,
3.png,0,
4.png,1,
5.png,1,
6.png,0,
7.png,0,部屋？
8.png,1,
9.png,0,
10.png,0,
11.png,0,
12.png,1,
13.png,0,部屋？
14.png,1,
15.png,0,
16.png,0,
17.png,1,
18.png,0,
19.png,0,
20.png,0,
21.png,1,
22.png,0,
23.png,0,
24.png,0,
25.png,0,
26.png,1,
27.png,0,
28.png,0,
29.png,0,
30.png,1,
31.png,0,部屋？
32.png,1,部屋？
33.png,1,
34.png,1,
35.png,0,
36.png,1,
37.png,1,
38.png,0,
39.png,0,
40.png,0,
41.png,0,
42.png,1,
43.png,0,
44.png,0,
45.png,0,
46.png,1,
47.png,0,
48.png,1,
49.png,0,
50.png,1,
51.png,1,
52.png,0,
53.png,1,片付いてるかもしれないけど物置すぎで散らかってるように見える
54.png,0,
55.png,0,
56.png,0,
57.png,0,
58.png,0,部屋？
59.png,1,
60.png,1,
61.png,0,
62.png,0,
63.png,0,
64.png,1,
65.png,1,片付いてるかもしれないけど物置すぎで散らかってるように見える
66.png,0,
67.png,0,
68.png,1,
69.png,0,
70.png,0,
71.png,0,
72.png,0,
73.png,1,
74.png,0,
75.png,0,
76.png,0,部屋？
77.png,0,
78.png,1,
79.png,1,
80.png,0,
81.png,1,
82.png,0,
83.png,0,
84.png,0,ほぼ壁
85.png,0,
86.png,0,
87.png,1,片付いてるかもしれないけど物置すぎで散らかってるように見える
88.png,0,
89.png,0,
90.png,0,
91.png,0,
92.png,0,部屋というより作業場？
93.png,1,
94.png,0,
95.png,0,
96.png,1,
97.png,0,
98.png,0,
99.png,0,
100.png,1,
101.png,0,CG?
102.png,0,
103.png,0,
104.png,1,
105.png,1,
106.png,0,
107.png,0,
108.png,1,
109.png,0,
110.png,1,
111.png,1,
112.png,0,
113.png,1,
114.png,0,
115.png,0,
116.png,1,
117.png,0,
118.png,1,
119.png,0,
120.png,0,
121.png,0,風呂場
122.png,0,ほぼ壁
123.png,0,
124.png,0,
125.png,0,
126.png,0,
127.png,0,
128.png,1,手前のベッドしたが無ければ0
129.png,1,
130.png,0,部屋？
131.png,1,
132.png,0,
133.png,0,
134.png,1,
135.png,1,
136.png,0,
137.png,1,
138.png,0,
139.png,0,
140.png,0,
141.png,0,
142.png,0,
143.png,0,
144.png,0,
145.png,0,
146.png,1,
147.png,0,ほぼ壁
148.png,0,
149.png,1,
150.png,0,
151.png,1,
152.png,0,
153.png,0,
154.png,1,
155.png,0,
156.png,1,
157.png,0,
158.png,0,
159.png,0,
160.png,0,
161.png,0,
162.png,0,
163.png,0,
164.png,0,CG?
165.png,1,
166.png,0,
167.png,0,
168.png,0,
169.png,1,
170.png,0,
171.png,0,
172.png,0,
173.png,0,
174.png,0,
175.png,0,
176.png,0,
177.png,0,
178.png,0,
179.png,0,
180.png,0,
181.png,1,
182.png,0,
183.png,0,
184.png,0,
185.png,0,
186.png,0,
187.png,0,
188.png,0,
189.png,0,
190.png,0,ほぼベッド＆壁
191.png,0,
192.png,1,
193.png,1,
194.png,1,解像度の問題で判別難しい
195.png,1,
196.png,0,
197.png,0,
198.png,0,
199.png,0,
200.png,0,屋外
201.png,1,
202.png,0,部屋というより通路？
203.png,0,
204.png,1,
205.png,1,
206.png,0,
207.png,0,解像度の問題で判別難しい
208.png,0,
209.png,0,
210.png,0,
211.png,0,ほぼ壁
212.png,1,
213.png,1,
214.png,1,
215.png,1,
216.png,1,
217.png,0,
218.png,0,
219.png,0,
220.png,1,
221.png,0,
222.png,1,
223.png,0,
224.png,0,どちらかというと鏡の映り込み具合で判断
225.png,1,
226.png,0,
227.png,1,
228.png,0,
229.png,0,ほぼ床
230.png,0,ほぼ棚
231.png,0,
232.png,1,
233.png,0,
234.png,0,屋外
235.png,0,
236.png,1,
237.png,1,
238.png,0,
239.png,1,
240.png,0,
241.png,0,部屋？
242.png,0,解像度の問題で判別難しい
243.png,0,
244.png,0,
245.png,0,
246.png,0,
247.png,0,
248.png,0,部屋？
249.png,0,
250.png,0,ほぼ棚＆壁
251.png,0,1かもしれない
252.png,0,解像度の問題で判別難しい
253.png,0,ほぼインテリアのみ
254.png,0,
255.png,0,
256.png,1,
257.png,0,部屋？
258.png,1,
259.png,1,
260.png,0,ほぼ壁
261.png,0,
262.png,1,
263.png,1,
264.png,1,
265.png,0,
266.png,0,床屋？（作業場？）
267.png,0,
268.png,0,
269.png,0,
270.png,0,
271.png,0,
272.png,0,
273.png,1,
274.png,0,
275.png,0,
276.png,0,
277.png,1,
278.png,0,
279.png,1,
280.png,0,
281.png,0,台所
282.png,0,
283.png,0,
284.png,1,
285.png,1,
286.png,0,
287.png,0,
288.png,0,
289.png,0,床屋
290.png,0,
291.png,0,再生ボタン付き
292.png,0,
293.png,0,
294.png,0,台所
295.png,0,
296.png,0,
297.png,1,ベッド＆壁のみで判断困難
298.png,1,
299.png,0,
